time,x_0
0.099,0.0314107590781282
0.198,-0.0627905195293132
0.297,0.0941083133185159
0.396,-0.125333233564304
0.495,0.1564344650402323
0.594,-0.1873813145857278
0.6930000000000001,0.2181432413965404
0.792,-0.2486898871648544
0.891,0.2789911060392305
0.99,-0.3090169943749503
1.089,0.3387379202452925
1.188,-0.3681245526846839
1.287,0.3971478906347849
1.386,-0.4257792915650687
1.485,0.4539904997395476
1.584,-0.4817536741017145
1.683,0.5090414157503689
1.782,-0.5358267949789987
1.881,0.5620833778521311
1.98,-0.5877852522924779
